"filename", "language", "Log", "TypeScript", "HTML", "JSON", "TypeScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\RoomListScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 5, 55
"c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 11, 48
"c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 232, 0, 0, 0, 54, 286
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 421, 0, 0, 0, 35, 456
"c:\Users\jingc\Documents\8番出口\src\data\avatars.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\jingc\Documents\8番出口\src\game\cpu.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 0, 156, 0, 0, 0, 0, 0, 0, 24, 180
"c:\Users\jingc\Documents\8番出口\src\game\cpuModelRegistry.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\jingc\Documents\8番出口\src\game\cpuTypes.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\jingc\Documents\8番出口\src\game\deck.test.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 18, 76
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 13, 114
"c:\Users\jingc\Documents\8番出口\src\game\easyCpu.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 19, 105
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 0, 341, 0, 0, 0, 0, 0, 0, 52, 393
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 0, 1026, 0, 0, 0, 0, 0, 0, 114, 1140
"c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts", "TypeScript", 0, 156, 0, 0, 0, 0, 0, 0, 32, 188
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 0, 18, 173
"c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts", "TypeScript", 0, 161, 0, 0, 0, 0, 0, 0, 10, 171
"c:\Users\jingc\Documents\8番出口\src\game\rules.ts", "TypeScript", 0, 146, 0, 0, 0, 0, 0, 0, 37, 183
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 0, 181, 0, 0, 0, 0, 0, 0, 21, 202
"c:\Users\jingc\Documents\8番出口\src\game\scoring.ts", "TypeScript", 0, 153, 0, 0, 0, 0, 0, 0, 37, 190
"c:\Users\jingc\Documents\8番出口\src\game\standardCpu.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 16, 82
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 0, 214, 0, 0, 0, 0, 0, 0, 41, 255
"c:\Users\jingc\Documents\8番出口\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 4426, 0, 638, 5064
"c:\Users\jingc\Documents\8番出口\src\test\setup.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 0, 210, 0, 0, 0, 0, 0, 0, 18, 228
"c:\Users\jingc\Documents\8番出口\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\jingc\Documents\8番出口\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\jingc\Documents\8番出口\tsconfig.node.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\jingc\Documents\8番出口\vite-dev.out.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jingc\Documents\8番出口\vite.config.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 0, 3327, 12, 2218, 4904, 22, 4426, 152, 1718, 16779
