"filename", "language", "Log", "JSON", "JSON with Comments", "TypeScript", "HTML", "TypeScript JSX", "PostCSS", "YAML", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\PlaceholderScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 519, 0, 0, 0, 97, 616
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1961, 0, 0, 151, 141, 2253
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreenQueen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 5, 59
"c:\Users\jingc\Documents\8番出口\src\components\PlayerArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"c:\Users\jingc\Documents\8番出口\src\components\PlayingCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"c:\Users\jingc\Documents\8番出口\src\components\ProfileScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 0, 10, 103
"c:\Users\jingc\Documents\8番出口\src\components\ResultScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 267, 0, 0, 0, 62, 329
"c:\Users\jingc\Documents\8番出口\src\components\ResultScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 483, 0, 0, 0, 54, 537
"c:\Users\jingc\Documents\8番出口\src\components\ResultStandingsPanel.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 13, 96
"c:\Users\jingc\Documents\8番出口\src\components\ResultStandingsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 195, 0, 0, 0, 17, 212
"c:\Users\jingc\Documents\8番出口\src\components\RoomListScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 5, 55
"c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 11, 48
"c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 232, 0, 0, 0, 54, 286
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 421, 0, 0, 0, 35, 456
"c:\Users\jingc\Documents\8番出口\src\data\avatars.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\jingc\Documents\8番出口\src\game\cpu.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 0, 0, 0, 222, 0, 0, 0, 0, 0, 40, 262
"c:\Users\jingc\Documents\8番出口\src\game\cpuModelRegistry.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\jingc\Documents\8番出口\src\game\cpuTypes.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"c:\Users\jingc\Documents\8番出口\src\game\daifugoCpu.ts", "TypeScript", 0, 0, 0, 123, 0, 0, 0, 0, 0, 28, 151
"c:\Users\jingc\Documents\8番出口\src\game\deck.test.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 18, 76
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 0, 0, 0, 13, 116
"c:\Users\jingc\Documents\8番出口\src\game\easyCpu.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 19, 112
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 0, 0, 0, 932, 0, 0, 0, 0, 0, 120, 1052
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 0, 0, 0, 1615, 0, 0, 0, 0, 0, 147, 1762
"c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts", "TypeScript", 0, 0, 0, 184, 0, 0, 0, 0, 0, 37, 221
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 0, 0, 0, 166, 0, 0, 0, 0, 0, 19, 185
"c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts", "TypeScript", 0, 0, 0, 161, 0, 0, 0, 0, 0, 10, 171
"c:\Users\jingc\Documents\8番出口\src\game\rules.ts", "TypeScript", 0, 0, 0, 146, 0, 0, 0, 0, 0, 37, 183
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 0, 0, 0, 190, 0, 0, 0, 0, 0, 23, 213
"c:\Users\jingc\Documents\8番出口\src\game\scoring.ts", "TypeScript", 0, 0, 0, 156, 0, 0, 0, 0, 0, 37, 193
"c:\Users\jingc\Documents\8番出口\src\game\standardCpu.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 17, 97
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 0, 0, 0, 225, 0, 0, 0, 0, 0, 41, 266
"c:\Users\jingc\Documents\8番出口\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 5311, 0, 6, 767, 6084
"c:\Users\jingc\Documents\8番出口\src\test\setup.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 0, 0, 0, 273, 0, 0, 0, 0, 0, 18, 291
"c:\Users\jingc\Documents\8番出口\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\jingc\Documents\8番出口\tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\jingc\Documents\8番出口\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\jingc\Documents\8番出口\vite-5173.log", "Log", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\jingc\Documents\8番出口\vite-dev.out.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jingc\Documents\8番出口\vite.config.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 6, 2218, 22, 4849, 12, 6333, 5311, 28, 158, 2137, 21074
