"filename", "language", "TypeScript", "Log", "JSON with Comments", "JSON", "HTML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\PlayerArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\jingc\Documents\8番出口\src\components\PlayingCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 8, 56
"c:\Users\jingc\Documents\8番出口\src\components\ProfileScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 10, 103
"c:\Users\jingc\Documents\8番出口\src\components\ResultScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 267, 0, 0, 62, 329
"c:\Users\jingc\Documents\8番出口\src\components\ResultScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 466, 0, 0, 52, 518
"c:\Users\jingc\Documents\8番出口\src\components\ResultStandingsPanel.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 13, 96
"c:\Users\jingc\Documents\8番出口\src\components\ResultStandingsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 195, 0, 0, 17, 212
"c:\Users\jingc\Documents\8番出口\src\components\RoomListScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 11, 48
"c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 229, 0, 0, 54, 283
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 358, 0, 0, 31, 389
"c:\Users\jingc\Documents\8番出口\src\data\avatars.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\jingc\Documents\8番出口\src\game\cpu.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 149, 0, 0, 0, 0, 0, 0, 0, 22, 171
"c:\Users\jingc\Documents\8番出口\src\game\cpuModelRegistry.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\jingc\Documents\8番出口\src\game\cpuTypes.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\jingc\Documents\8番出口\src\game\deck.test.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 16, 70
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 13, 111
"c:\Users\jingc\Documents\8番出口\src\game\easyCpu.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 18, 99
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 142, 0, 0, 0, 0, 0, 0, 0, 23, 165
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 627, 0, 0, 0, 0, 0, 0, 0, 75, 702
"c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts", "TypeScript", 156, 0, 0, 0, 0, 0, 0, 0, 32, 188
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 149, 0, 0, 0, 0, 0, 0, 0, 18, 167
"c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts", "TypeScript", 158, 0, 0, 0, 0, 0, 0, 0, 10, 168
"c:\Users\jingc\Documents\8番出口\src\game\rules.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 0, 0, 35, 171
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 179, 0, 0, 0, 0, 0, 0, 0, 21, 200
"c:\Users\jingc\Documents\8番出口\src\game\scoring.ts", "TypeScript", 153, 0, 0, 0, 0, 0, 0, 0, 37, 190
"c:\Users\jingc\Documents\8番出口\src\game\standardCpu.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 16, 82
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 214, 0, 0, 0, 0, 0, 0, 0, 41, 255
"c:\Users\jingc\Documents\8番出口\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 4137, 0, 596, 4733
"c:\Users\jingc\Documents\8番出口\src\test\setup.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 146, 0, 0, 0, 0, 0, 0, 0, 17, 163
"c:\Users\jingc\Documents\8番出口\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\jingc\Documents\8番出口\tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\jingc\Documents\8番出口\tsconfig.node.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\jingc\Documents\8番出口\vite-dev.out.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jingc\Documents\8番出口\vite.config.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 2616, 0, 22, 2218, 12, 4113, 4137, 1, 1549, 14668
